"name","url","notes","email","phone","contact","type_community","civic_taxonomy","district","neighborhood","categories","ownership","ethnicity","size_organization","address","zipcode","source"
"Senior Services","http://www.seniorservices.org/","Promote positive aging with programs and senior centers","info@seniorservices.org","206-448-5757",,"Social justice","Seniors","Citywide",,"Service provider","Nonprofit",,250,"2208 Second Ave Suite 100",98121,"DPR"
"SHA Job Connection","http://seattlehousing.org/residents/jobs/","Helps people learn job application and interview skills and provides support to help them reach their career and life goals",,"206-932-2736",,"Social justice","Employment","Citywide","High Point, Lake City, NewHolly, Rainier Vista, Yesler Terrace","Education","Nonprofit",,50,"6558 35th Ave SW",98126,"DPR"
"Shilshole Liveaboard Association","http://shilsholecommunity.org/?page_id=226","Provide a forum for boat owners and community members to share information","don@aai-design.com","888-523-8236","Don Aupperle","Media","Marine","Ballard",,"Information","Media",,0,"6307 Seaview Ave NW",98117,"DON"
"Skate Like a Girl","http://skatelikeagirl.com/","Promote female skateboarding by fostering confidence in girls and women to skateboard and take leadership in their communities","skatelikeagirl@gmail.com","206-973-8005",,"Youth & family","Health; Women","Citywide",,"Service provider","Nonprofit",,,"PO Box 95902",98145,"DON"
"Small Business Partnership for Prosperity","http://www.sbpp.org","Create, develop, and promote sustainable growth and prosperity for small and minority business owners and entrepreneurs ","farayi@masikatech.com","206-575-7748","Farayi Chiro","Business","RSJ","Citywide",,"Advocacy","Nonprofit","People of color",3,,,"DFAS"
"Small Business Task Force",,"Support small business in the Seattle community","dwight.dively@seattle.gov","206-684-5212","Dwight Dively","Business","Development","Citywide",,"Advocacy","Nonprofit",,,"PO Box 94747",98124,"DON"
"SODO Business Association","http://www.sodobusinessassociation.org/","Plan, encourage and empower the progressive economic and social improvement of a commercial-industrial core","mike@processheating.com","206-292-7449","Mike Peringer","Business","Neighborhood","Greater Duwamish","SODO","Advocacy","Community group",,0,"2732 3rd Ave S",98134,"DON"
"Solid Ground","http://solid-ground.org/Pages/Default.aspx","Work to end poverty through a community effort employing services and advocacy","info@solid-ground.org","206-694-6700",,"Social justice","Emergency; Housing; Seniors","Lake Union","Fremont","Service provider","Nonprofit","People of color",7,"1501 N 45th St",98103,"DPR"
"Somali Community of South King County",,"Support the Somali community","scskc@hotmail.com","206-277-2800","Asad Hassan","RSJ","Immigration","Southeast",,"Service provider","Community group","Somali",,"13919 Pacific Hwy. S Tukwila",98168,"DON"
"Somali Community Services Coalition","http://somalicsc.org/","Enhance Somali well-being and quality of life while preserving Somali culture","jama@somalicsc.org; info@somalicsc.org","206-431-3536","Ahmed Jama","RSJ","Employment; Education; Immigration; Health","Southeast",,"Service provider","Nonprofit","Somali",3,"7101 ML King Jr. Way So. Ste 203",98118,"DON"
"Somali Community Services of Seattle","somalicss.org","Provides social services to the Somali community","socomser2002@yahoo.com","206-760-1181","Zahra Farah","RSJ","Emergency","Southeast","Rainier Valley","Service provider","Nonprofit","Somali",,"3320 Rainier Ave S",98144,"DPR"
"Somali Society Services",,"Provides social services to the Somali community",,"206-760-8848",,"RSJ","Immigration","Southeast","Rainier Valley","Service provider","Community group","Somali",0,"7636 Rainier Ave S",98118,"DPR"
"Somali Women & Children Skills for Change",,"Support Somali women and children in integrating into the community successfully","ssabrie@msn.com","206-923-3445","Shariffa Sabrie","Youth & family","RSJ","Delridge",,"Service provider","Community group","Somali",,"3031 Holly SW",98126,"DON"
"Somali Youth and Family Club","http://syafc.org/","Provide resources and education to Somali families","lnguyen5921@comcast.net","206-772-0892","Aden/Liban","Youth & family","RSJ","Southeast","Rainier Valley","Service provider","Community group","Somali",,"134456 MLK Jr Way S Ste 7B",98178,"DPR"
"Sound Steps Walking Group","http://www.seattle.gov/parks/seniors/soundsteps.htm","Coordinates community walking groups for adults over 50 to promote health","sound.steps@seattle.gov","206-684-4664",,"Social justice","Seniors; Health","Citywide",,"Service provider","Community group",,1,"4655 S Holly St",98118,"DPR"
"South Beacon Hill Community Council",,"Address community issues","wpmallow@hotmail.com","206-722-9197","Bill Mallow","Community council","Neighborhood","Greater Duwamish","Beacon Hill","Advocacy","Community group",,0,"2310 S Graham",98108,"DON"
"South Delridge/White Center Public Safety Partnership",,"Promote public safety near White Center","kathy@sngi.org",,"Kathy Kaminski","Community council","Public safety","Delridge","White Center","Service provider","Community group",,0,,98146,"DON"
"South Downtown Foundation","http://www.southdowntown.org/","Provide information and support to local businesses","jimdiers@comcast.net","206-725-3856","Jim Diers","Business","Development","Greater Duwamish","SODO","Information","Media",,0,"5403 S Alaska St",98118,"DON"
"South Lake Improvement Committee",,"Work to improve the South Lake neighborhood","ccoxley@comcast.net","206-683-7919","Christie Coxley","Community council","Neighborhood","Southeast","South Lake","Advocacy","Community group",,,,98109,"DON"
"South Lake Union Chamber of Commerce","http://sluchamber.org/","Support business and community","info@SLUchamber.org; jason@sluchamber.org","206-547-2577","Jason McKinney","Business","Neighborhood","Lake Union","SLU","Advocacy","Community group",,3,"305 9th Ave N",98109,"DON"
"South Lake Union Community Council","http://www.slucommunitycouncil.org/","Support community in South Lake Union","info@SLUCommunityCouncil.org",,,"Community council","Neighborhood","Lake Union","SLU","Advocacy","Community group",,0,,98109,"DPR"
"South Park Arts","http://www.southparkarts.org/","Supports and represents artists in South Park","info@southparkarts.org",,,"Arts","Support","Greater Duwamish","South Park","Advocacy","Community group",,0,,98108,"DPR"
"South Park Business Association",,"Support local business and community","lmc@rlcook.com","206-763-8777",,"Business","Neighborhood","Greater Duwamish","South Park","Advocacy","Community group",,0,"PO Box 80992",98108,"DON"
"South Park Neighborhood Association / South Park Area Redevelopment Committee","http://www.allaboutsouthpark.com/groups/community/spna/","Improve South Park neighborhood through community engagement and advocacy","southparkseattle@yahoo.com","206-767-3650",,"Community council","Neighborhood","Greater Duwamish","South Park","Service provider","Community group",,0,"8201 10th Avenue S",98108,"DPR"
"South Rainier Valley Safety Partnership",,"Work to prevent crime in the community","jennifer@sngi.org",,"Jennifer Duong","Community council","Public safety","Southeast","Rainier Beach","Advocacy","Community group",,,,98118,"DON"
"South Ryan Way Hill Association",,"Address community issues",,"206-722-3146","Trolice Flavors","Community council","Neighborhood","Southeast","Rainier Beach","Advocacy","Community group",,0,,98178,"DPR"
"South Seattle Community College","http://www.southseattle.edu/","Educate and prepare students from diverse backgrounds for future success","mmunson@sccd.ctc.edu","206-768-6875","Mike Munson","Social justice","Education","Greater Duwamish","Georgetown","Education","School",,"Regional ","6000 16th Avenue SW",98106,"DPR"
"South Seattle Crime Prevention Council","http://columbiacitizens.net/sscpc:welcome","Promote partnerships to effectively address public safety issues in South Seattle","mquarn@comcast.net","206-322-6134","Mariana Quarnstrom","Community council","Public safety","Citywide","South Seattle","Advocacy","Community group",,1,,98118,"DON"
"South Shore Community Council",,"Address community issues",,"206-760-4818","Nailah Evans Eadom","Community council","Neighborhood","Southeast","Rainier Vista","Advocacy","Community group",,0,,98118,"DPR"
"Southeast District Council ","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","vu.le@vfaseattle.org","206-760-1573","Vu Le","Community council","District","Southeast",,"Advocacy","Community group",,0,"7101 MLK Way S Suite 212",98118,"DON"
"Southeast Effective Development","http://www.seedseattle.org/","Improve the quality of life in Southeast Seattle inspiring community investments in housing, arts, and economic development","erichardson@seedseattle.org","206-760-4281","Earl Richardson","Community council","Neighborhood","Southeast",,"Advocacy","Nonprofit",,15," 5117 Rainier Ave S",98118,"DON"
"Southeast Seattle Senior Center","http://www.southeastseattleseniorcenter.org/","Offers social, health, and recreation activities and services to encourage continued independence","info@seniorservices.org","206-722-0317",,"Social justice","Seniors; Health","Southeast",,"Service provider","Nonprofit",,9,"4655 S Holly St",98118,"DPR"
"Southeast Youth and Family Services","http://www.scn.org/seyouth/","Assist youth and families with culturally sensitive community services that facilitate and empower them to make healthy life choices","seyfs@uswest.net","206-721-5542",,"Youth & family","Abuse; Education; Health; Substance abuse","Southeast",,"Service provider","Community group",,,"3722 S Hudson St",98118,"DPR"
"Southern Sudanese Community","http://sscw.org/home","Provide assistance to Southern Sudanese immigrants to help them make a smooth transition and become self sufficient","sscwdeputydirector@gmail.com","206-283-9191","Suzanna Samb","RSJ","Education; Immigration; Employment","Downtown",,"Service provider","Nonprofit","Sudanese",6,"510 2nd Ave. W",98119,"DPR"
"Southern Sudanese Women's Association","http://depts.washington.edu/commtran/SSWagency.htm","Empower and unite Southern Sudanese women through community involvement, such as educational projects and economic independence",,"206-367-6196",,"RSJ","Social action; Women","North","Shoreline","Service provider","Nonprofit","Sudanese","9 (unpaid)","14817 15th Ave. NE # 18",98155,"DPR"
"Southwest Community Center Advisory Council","http://www.ci.seattle.wa.us/parks/centers/Southwest/advisory.htm","Supports and advises Southwest Seattle Community Center",,"206-684-7438",,"Community council","Neighborhood","Southwest",,"Advocacy","Community group",,0,"2801 SW Thistle St",98126,"DPR"
"Southwest District Council","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","ericakarlovits@yahoo.com","206-923-5787","Erica Karlovits ","Community council","District","Southwest",,"Advocacy","Community group",,0,"4538-C 41st Ave SW",98116,"DON"
"Southwest District Council ","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","credmond@mac.com","206-932-6003","Chas Redmond","Community council","District","Southwest",,"Advocacy","Community group",,0,"3903 SW Monroe St",98136,"DON"
"Southwest Seattle Business and Professional Women","http://www.southwestseattlebpw.org/","Creates successful workplaces by advocating equity and diversity","webmaster@southwestseattlebpw.org",,,"Business","Women; Social justice","Southwest",,"Advocacy","Nonprofit",,"National",,98116,"DPR"
"Southwest Seattle Historical Society","http://www.loghousemuseum.info/index.php","Support historic preservation, heritage education and community service for the Southwest Seattle area","ron.richardson@comcast.net","206-938-5293","Ron Richardson","Social justice","History","Southwest","Alki","Service provider","Nonprofit",,2,"3003 61st Ave SW",98116,"DON"
"Southwest Seattle Pony Baseball","http://swseattleponybaseball.org/","Help kids 11-18 through baseball league","pleon10211@aol.com","206-250-5213 ","Paul Leonardo","Youth & family","Health","Southwest",,"Service provider","Community group",,0,"2701 California Ave SW",98116,"DPR"
"Southwest Youth and Family Services","http://swyfs.org/","Empower youth and families through culturally relevant counseling, education and family support services","info@swyfs.org; sdaschle@swyfs.org","206-937-7680 ","Steven Daschle","Youth & family","Education","Citywide","South Seattle","Service provider","Nonprofit","People of color",50,"4555 Delridge Way SW",98106,"DON"
"Squire Park Community Council","http://www.squirepark.org/community_council/","Encourage neighborhood and housing upkeep and improvement","tenaya.wright@squirepark.org",,"Tenaya Wright","Community council","Neighborhood","Central","Squire Park","Advocacy","Community group",,0,"2301 S. Jackson St Suite 208",98144,"DPR"
"Stage Struck","http://www.stagestruckseattle.com/","Provide summer camps that educate Seattle youth about theatre","stagestruckseattle@gmail.com","206-766-9545",,"Youth & family","Arts","Citywide",,"Service provider","Nonprofit",,13,"8146 13th Avenue SW",98106,"DON"
"Stronghold Productions","http://www.strongholdproductions.org/","Fosters expression and community involvement by providing art resources","info@strongholdproductions.org",,,"Arts","Support","Greater Duwamish",,"Service provider","Nonprofit",,7,"3046 Beacon Ave S",98144,"DPR"
"Student Conservation Association","http://thesca.org/","Provides college and high school students with hands-on conservation service opportunities","kmitchell@thesca.org; ecaldwell@thesca.org","206-324-4649",,"Youth & family","Environment; Social Action","Citywide",,"Volunteerism","Nonprofit",,"National","1265 S Main St Suite 210",98144,"DPR"
"Summer Search Foundation","http://www.summersearch.org/about/offices/seattle/","Recruit and support low-income high school students and provide mentoring, scholarships, college advising, and a lasting support network","seattle@summersearch.org","206-729-0911","Amy Russell","Youth & family","Education; Social justice","Citywide",,"Service provider","Nonprofit","People of color",9,"1109 1st Ave South, Suite 205",98101,"DON"
"Sunrise Heights Neighborhood Association","http://sunriseheights.ning.com/","Provide a forum for community discussion",,"206-938-8766","Jeff Knudson","Community council","Neighborhood","Delridge","Sunrise Heights","Information","Community group",,0,"7302 32nd Ave SW",98126,"DON"
"Sunset Hill Community Association","http://www.sunsethillcommunity.com/","Advocate for community interests and provide community rental space","rdrucker@earthlink.net; info@sunsethillcommunity.com","206-784-2927","Robert Drucker","Community council","Neighborhood","Ballard","Sunset Hill","Advocacy","Community group",,0,"3003 NW 66th St",98117,"DON"
"Sustainable Ballard","http://sustainableballard.org","Educate, inspire, and engage neighbors to take action to live more sustainably both individually and collectively","info@sustainableballard.org; jenny@sustainableballard.org","206-701-7000","Jenny Heins","Environment","Neighborhood","Ballard",,"Service provider","Community group",,0,"2442 NW Market St, PMB 286 ",98107,"DON"
"Sustainable Crown Hill","http://sustainablecrownhill.org/wp/","Support neighborhood initiatives that promote a healthy environment, strong community connections, and a vibrant local economy","carolbarber@comcast.net","206-789-8693","Carol Barber","Environment","Neighborhood","Ballard","Crown Hill","Service provider","Community group",,0,,98117,"DON"
"Sustainable Green Lake","http://sustainablegreenlake.com/; http://sustainablegreenlake.ning.com/","Support sustainable living and community in Green Lake","pennielink@mac.com",,"Pennie O'Grady","Environment","Parks","Northwest","Green Lake","Service provider","Community group",,0,,98103,"DON"
"Sustainable Greenwood-Phinney",,"Support a sustainable community and provide opportunities for involvement","achelan@aol.com",,,"Environment","Neighborhood","Northwest","Phinney ","Advocacy","Community group",,0,,98103,"DPR"
"Sustainable Magnolia","http://sustainablemagnolia.org/","Educate and engage citizens to help mitigate the climate crisis and promote a sustainable quality of life in our community","info@sustainablemagnolia.org; pam@mvgryphon.com","206-310-1480","Pam Lewis","Environment","Neighborhood","Magnolia/Queen Anne","Magnolia","Service provider","Community group",,0,"5612 42nd Ave W",98199,"DON"
"Sustainable Queen Anne","http://sustainablequeenanne.org/","Promote sustainable living in Queen Anne","heatrim@gmail.com","206-352-0219","Heather Trim","Environment","Neighborhood","Magnolia/Queen Anne","Queen Anne","Service provider","Community group",,,"2502 Westview Dr W",98109,"DON"
"Sustainable Seattle","http://sustainableseattle.org/","Promote sustainability in Puget Sound through advocacy and outreach and education programs","info@sustainableseattle.org","206-622-3522",,"Environment","Resources","Citywide",,"Advocacy","Nonprofit",,"16 (unpaid)","1402 Third Ave Suite 430",98101,"DPR"
"Sustainable South Seattle","http://columbiacitizens.net/sss:welcome","Promote sustainability in Seattle's South end communities","mona_lee@comcast.net",,"Mona Lee","Environment","Neighborhood","Citywide","South Seattle","Service provider","Community group",,0,"4802 S Othello",98118,"DON"
"Tabor 100","http://www.tabor100.org","Promote economic power, educational excellence and social equity for African-Americans and the community at large","president@tabor100.org","206-368-4042","Ollie Garrett","Business","RSJ; Social justice","Citywide",,"Advocacy","Nonprofit","African American",10,"PO Box 34628 #14980",98124,"DFAS"
"Taiwanese American Professionals Society","http://tapsinseattle.org/blog/","Provide social networking opportunities for young Asian American professionals","taps.in.seattle@gmail.com",,,"Business","RSJ","Citywide",,"Service provider","Community group","Taiwanese",0,,,"DPR"
"Technology Access Foundation ","http://www.techaccess.org/","Provide resources to help underserved children succeed in and after school","taf@techaccess.org","206-725-9095",,"Youth & family","Education; Social justice","Citywide",,"Education","Nonprofit","People of color",20,"4436 Rainier Ave S ",98118,"DPR"
"Teen Art Studios - Gage Academy of Art","http://www.gageacademy.org/youth/?page=teen_studio","Teen Art Studio provides art instruction, supplies and refreshments provided for free on weekend evenings","info@gageacademy.org","206-323-GAGE",,"Youth & family","Arts","Citywide","Capitol Hill, Rainier Valley","Service provider","Nonprofit",,,"1501 10th Ave. East, #101",98102,"DON"
"Teens in Public Service","http://www.teensinpublicservice.org/","Helps teens develop through placement with volunteer organizations","tips@teensinpublicservice.org","206-985-4647",,"Youth & family","Social action","Citywide",,"Volunteerism","Nonprofit",,,"4530 Union Bay Pl. NE Suite 140 ",98105,"DPR"
"The Alliance for Pioneer Square","http://www.pioneersquaredistrict.org/","Support the Pioneer Square community","info@pioneersquare.org",,,"Community council","Neighborhood","Downtown","Pioneer Square","Information","Community group",,,,98104,"DOIT"
"The Ave Group",,"Discuss revitalization of the Ave and other U District issues",,"206-522-1181","Patty Whisler","Community council","Neighborhood","Northeast","University","Advocacy","Community group",,0,,98105,"DPR"
"The Children's Museum","http://thechildrensmuseum.org/","Inspire and educate children through museum","tcm@thechildrensmuseum.org","206-441-1768",,"Youth & family","Education","Citywide",,"Education","Nonprofit",,5,"305 Harrison St ",98109,"DPR"
"The Moonpaper Tent","http://www.moonpapertent.org/","Provide theatre classes and opportunities for Seattle youth and families","info@moonpapertent.org","206-708-6741",,"Youth & family","Arts","Citywide",,"Service provider","Nonprofit",,,"918 NE 64th Str",98115,"DON"
"The New Pioneer Square","http://www.thenewpioneersquare.com/","Provide community news and information","info@thenewp2.com",,,"Media","Neighborhood","Downtown","Pioneer Square","Information","Media",,,,98104,"Online"
"The Northwest Network of Bi, Trans, Lesbian & Gay Survivors of Abuse","http://www.nwnetwork.org/","Provide support and advocacy for LBGT survivors of abuse, including basic needs and legal aid, counseling, and referrals","info@nwnetwork.org","206-568-7777",,"Social justice","LGBT; Abuse","Southeast",,"Service provider","Nonprofit",,,"PO Box 18436",98118,"DON"
"The Service Board","http://www.theserviceboard.org/","Empowers youth to overcome obstacles and build strong community through snowboarding, public service, and a curriculum of social justice","ashley@theserviceboard.org","206-324-7771","Ashley Miller","Youth & family","Health","Citywide",,"Service provider","Nonprofit",,5,"4408 Delridge Way SW",98106,"DPR"
"The South Lake","http://www.thesouthlake.com/","Provide community news and information","rick@thesouthlake.com",,,"Media","Neighborhood","Lake Union","SLU","Information","Media",,,,98109,"DOIT"
"The Vera Project","http://www.theveraproject.org/","Run a music and arts venue by youth for youth","joshp@theveraproject.org","206-956-8372",,"Youth & family","Arts","Downtown","Denny ","Service provider","Nonprofit",,10,"305 Harrison St",98109,"DON"
"TheRainierValley.com","http://therainiervalley.com/","Provide information and referrals relevant to Rainier Valley community members","webmaster@therainiervalley.com ","206-355-5141",,"Media","Neighborhood","Southeast","Rainier Valley","Information","Media",,,"3438 10th Ave W",98119,"DPR"
"Thornton Creek Alliance",,"Preserve and restore an ecological balance in the Thornton Creek watershed","clsouthwick@comcast.net","206-367-4635 ","Christine Southwick","Environment","Neighborhood","North",,"Advocacy","Community group",,0,"PO Box 25690",98165,"DPR"
"Thornton Creek Legal Defense Fund",,"Represent all individuals and groups who have an interest in the livability, health and restoration of Thornton Creek","janetway@yahoo.com",,"Janet Way","Environment","Neighborhood","North",,"Advocacy","Community group",,,,98125,"DPR"
"Tigrean Community Center",,"Provide services and support to the Ethiopian community",,"206-324-2190","Brzaf Araya","RSJ","Immigration","Central",,"Service provider","Community group","Ethiopian",,"1902 E Yesler Way",98122,"DPR"
"Treehouse for Kids","http://www.treehouse4kids.org/","Provides foster children from backgrounds of abuse and neglect with resources and support","info@treehouseforkids.org; mike@treehouseforkids.org","206-767-7000","Mike Clark","Youth & family","Homelessness; Abuse","Citywide",,"Service provider","Nonprofit",,9,"2100 24th Ave S Suite 200 ",98144,"DPR"
"Turkish American Cultural Association","http://tacawa.org/","Enhance awareness of Turkish culture, art and heritage and sponsor positive relationships between various Turkish and local communities","info@tacawa.org","206-339-8222",,"RSJ","Community","Citywide",,"Advocacy","Nonprofit","Turkish",0,"PO Box 357, Kirkland",98083,"DPR"
"U District Daily","http://www.udistrictdaily.com/","Provide community news and information","tips@udistrictdaily.com",,"Christian Caple","Media","Neighborhood","Northeast","University","Information","Media",,,,98105,"DOIT"
"Union Street Business Group","http://unionstreetbusiness.ning.com/","Provide information and support to local businesses",,,"Kevin Spitzer","Business","Development","Central",,"Information","Media",,0,,98122,"DPR"
"United Indians Elder Services","http://www.unitedindians.com/programs_003_004.html","Provides weekday nutritional lunches and health information","frybreadqueen@earthlink.net","206-228-1410","Judy Anderson","Social justice","Seniors; Health","Citywide",,"Service provider","Community group","Native American",4,"9010 13th Ave NW",98117,"DPR"
"United Indians of All Tribes ","http://unitedindians.org/","Foster and sustain strong Indian identity, tradition, and well-being by promoting cultural, economic, and social welfare","mbluewater@unitedindians.org; info@unitedindians.org","206-285-4425","Marty Bluewater","RSJ","Abuse; Education; Health; Homelessness; Seniors; Substance abuse","Citywide",,"Service provider","Nonprofit","Native American",70,"3801 West Government Way",98199,"DON"
"University District Community Council",,"Promote the comprehensive development, upgrading, beautification and improvement of the University District","mattfoxseattle@hotmail.com","206-527-0648","Matthew Fox","Community council","Neighborhood","Northeast","University","Advocacy","Community group",,0,"5031 University Way NE",98105,"DON"
"University Park Community Club","http://www.murkworks.net/~upcc/","Provide a forum for neighborhood residents","rose.calderon@comcast.net; upcc-l@upcc.org","206-524-7669","Rose Calderon","Community council","Neighborhood","Northeast","University ","Advocacy","Community group",,0,,98115,"DPR"
"University Village Merchants Association",,"Support local business and community","allie@uvillage.com","206-523-0622 ","Allie Johnson","Business","Neighborhood","Northeast","University","Advocacy","Community group",,0,"2623 NE University Village St Suite 7",98105,"DPR"
"Upper Queen Anne Merchants Association","http://upperqueenanne.blogspot.com/","Coordinate several events each year for customers and neighbors","upperQAMerchants@yahoo.com; greg@eatlocalonline.com","206-328-3663","Greg Conner","Business","Neighborhood","Magnolia/Queen Anne","Queen Anne","Service provider","Community group",,0,"2400 Queen Anne Avenue",98109,"DON"
"Uptown Alliance","http://www.uptownalliance.org/","Promote a sustainable, civil, and enjoyable environment in Uptown","djohnconey@aol.com; info@uptownalliance.com","206-733-9435","John Coney","Community council","Neighborhood","Magnolia/Queen Anne","Uptown","Advocacy","Community group",,0,"160 Roy St",98109,"DPR"
"Uptown Alliance Parks Committee","http://www.uptownalliance.org/","Support sustainable open spaces in Uptown","info@uptownalliance.com","206-733-9435",,"Environment","Neighborhood","Magnolia/Queen Anne","Uptown","Advocacy","Community group",,0,"160 Roy St",98109,"DPR"
"Uptown Alliance Public Safety Committee","http://www.uptownalliance.org/","Support public safety in Uptown","info@uptownalliance.com","206-733-9435",,"Community council","Public safety","Magnolia/Queen Anne","Uptown","Advocacy","Community group",,0,"160 Roy St",98109,"DPR"
"Urban ArtWorks: Public Mural Program","http://www.urbanartworks.org/programs/muralprogram.htm","Employ at-risk youth (most on probation) in art projects","info@urbanartworks.org","206-292-4142 ",,"Youth & family","Arts; Social justice","Citywide",,"Service provider","Nonprofit",,,"923 South Bayview Street, Suite C",98134,"DON"
"Urban League of Metropolitan Seattle","http://www.urbanleague.org/","Empower, enable, and assist African Americans and other people of color and disadvantaged people in becoming self-sufficient","info@urbanleague.org ","206-461-3792",,"RSJ","Education; Employment; Housing","Citywide",,"Service provider","Nonprofit","African American",37,"105 14th Ave",98122,"DPR"
"Urban League of Metropolitan Seattle Education Office","http://www.urbanleague.org/index.php/departments/education","Provide cultural and educational support to urban youth to raise academic success","eduassist@urbanleague.org","206-461-3792",,"Youth & family","Education; Social justice","Citywide",,"Education","Nonprofit","People of color",5,"105 14th Ave",98122,"DPR"
"Urban Sparks",,"Facilitate the creation and improvement of public spaces, and to inspire and educate the public in the initiation and accomplishment of similar community projects","info@urbansparks.org","206-992-2779",,"Environment","Neighborhood","Citywide",,"Service provider","Nonprofit",,,"4229 Baker Ave NW",98107,"DPR"
"UW Botanic Gardens","http://depts.washington.edu/uwbg/about.shtml","Support plant science and ecosystem research, education, and stewardship","uwbg@uw.edu","206-543-8616",,"Environment","Resources","Northeast","University","Service provider","School",,37,"3501 NE 41st St",98105,"DPR"
"UW Dream Project","http://depts.washington.edu/uwdrmprj/","Mentor high school students, usually low income or students of color, through the college admissions process","Website","206-616-5791",,"Youth & family","Education; Social justice","Citywide",,"Service provider","School","People of color",,"PO Box 352800",98195,"DON"
"UW NW Center for Livable Communities","http://depts.washington.edu/nwclc/","Promote awareness of the interconnectedness of urban life and the environment and promote more livable communities through applied research and community initiatives","fwagner@u.washington.edu","206-543-7459","Fritz Wagner","Environment","Built environment","Citywide",,"Advocacy","School",,8,"Department of Urban Design and Planning Box 355740, Gould Hall",98195,"DPR"
"UW Urban Ecology Project","http://www.urbaneco.washington.edu/","Research the effects and ecology of urban growth to help with wise policymaking","malberti@u.washington.edu","206-616-9379","Marina Alberti","Environment","Built environment","Northeast","University","Service provider","School",,3,"3949 15th Ave NE #432",98105,"DPR"
"Victory Heights Community Council",,"Address community issues","molly@seattlefarmersmarkets.org","206-365-5895","Molly Burke","Community council","Neighborhood","North","Victory Heights","Advocacy","Community group",,0,"PO Box 25011",98125,"DON"
"Vietnamese American Economic Development Association",,"Support Vietnamese American business and community","quang@vaeda.org","206-568-0999","Quang Nguyen","Business","RSJ","Central",,"Advocacy","Community group","Vietnamese",0,"1032 S Jackson",98104,"DPR"
"Vietnamese Friendship Association","http://vfaseattle.org/","Empower the Vietnamese community with social and family services while bridging, preserving, and promoting cultural heritage","vu.le@vfaseattle.org; info@vfaseattle.org","206-760-1573","Vu Le","RSJ","Education","Southeast","Rainier Valley","Service provider","Nonprofit","Vietnamese",8,"7101 MLK Jr Way S #212 ",98118,"DON"
"Vietnamese Senior Association",,"Provide social services and support to Vietnamese seniors",,,,"Social justice","Seniors","Central",,"Service provider","Community group","Vietnamese",,"2323 E Cherry St ",98122,"DPR"
"View Ridge Community Council","http://www.scn.org/neighbors/viewridge/index.htm","Provide a community forum to address issues","viewridg@scn.org; nancybolin@windermere.com","206-528-2462","Nancy Bolin","Community council","Neighborhood","Northeast","View Ridge","Advocacy","Community group",,0,"4241 NE 75th St",98115,"DON"
"Viva Hispanic Foundation NW","http://vivahispanicfoundation.com/default.aspx","Provide educational support and opportunities and promote the public good through empowerment of Hispanic and other communities of color","larevalo@uwkc.org","206-226-4775","Lolo Arevalo","RSJ","Social action","Citywide",,"Advocacy","Community group","Latino",0,"PO Box 21247",98111,"DON"
"Vovinam Viet Vo Dao Association of WA","http://vovinamusa.org/WashingtonCenter.aspx","Builds community and youth development through martial arts practice and traditions","master@vovinamusa.org","206-293-7792","Master Linh Thai","Youth & family","Health","Citywide","Beacon Hill, White Center","Service provider","Nonprofit","Vietnamese","National","3815 S. Othello Street, STE 100-261",98118,"DPR"
"Vovinam-Vietvo Dao Association of WA",,"Support Vietnamese community","nhanvodao@yahoo.com","206-376-8623","Thai Linhala (Leon)","RSJ","Community","Southeast",,"Advocacy","Community group","Vietnamese",,"3620 Courtland Pl S.",98144,"DON"
"WA State Chinese Cancer Network Association","http://www.wsccna.org/","Provide support and assistance for cancer patients and survivors, and their families, in the Chinese community ","hfc2002@msn.com","206-850-5914 ",,"RSJ","Health","Citywide",,"Service provider","Community group","Chinese",0,"PO Box 15425",98115,"DPR"
"Walkable Crown Hill","http://walkablecrownhill.org/","Improve neighborhood pedestrian safety","dg.nome@gmail.com; hierospace@gmail.com","206-388-2781","Bert Hopkins","Environment","Neighborhood","Ballard","Crown Hill","Service provider","Community group",,0,"9524 1/2 12th Ave NW",98117,"DON"
"Wallingford Boys and Girls Club","http://www.wallingfordboysandgirlsclub.org/","Provide community center and resources to aid in youth development","msweet@positiveplace.org","206-436-1932","Meghan Sweet","Youth & family","Community","Lake Union","Wallingford","Service provider","Nonprofit",,11,"1310 N 45th St",98103,"DON"
"Wallingford Chamber of Commerce","http://wallingfordchamber.org/","Support local business and community","chamber@wallingford.org","206-632-0645",,"Business","Neighborhood","Lake Union","Wallingford","Advocacy","Community group",,0,"2100  N 45th St Suite A",98103,"DPR"
"Wallingford Community Council","http://wallingford.org/cc/council-meetings","Provide a forum for addressing community issues in Wallingford","council@wallingford.org","206-632-3165 ",,"Community council","Neighborhood","Lake Union","Wallingford","Advocacy","Community group",,0,"2100-A N 45th St",98103,"DPR"
"Wallingford Community Senior Center","http://www.wallingfordseniors.org/","Senior community promoting dignity, independence and well-being","info@wallingfordseniors.org",,,"Social justice","Seniors","Lake Union","Wallingford","Service provider","Community group",,,"PO Box 17775 ",98127,"DPR"
